notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,variant
15-46309,SIRET:22720002900014,RAW_SIRET,2015-03-26,2015-07-29,2018-07-29,2026-07-13,32,32584,DIGITAL_ICT,True,36.0,True,1,54.106438896189225,19-146419,0.7049969208564671,HIGH,window_18m
15-39486,NAME:altantic eau,NAME_FALLBACK,2015-03-16,2015-03-16,2015-09-16,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.90670170827858,,,,window_18m
15-30947,NAME:smictom de la vallee de l authion,NAME_FALLBACK,2015-03-02,2015-03-02,2019-03-02,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,0,136.3666228646518,,,,window_18m
15-31909,NAME:etat - medad - c e t e de l ouest,NAME_FALLBACK,2015-03-03,2015-03-03,2015-09-03,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,136.33377135348226,,,,window_18m
15-31464,NAME:sdis de la mayenne,NAME_FALLBACK,2015-03-02,2015-07-10,2019-07-10,2026-07-13,35,35311,DIGITAL_ICT,True,48.0,True,1,61.530880420499344,20-52846,0.4073381486478924,MEDIUM,window_18m
15-31641,NAME:ircantec,NAME_FALLBACK,2015-03-04,2015-03-04,2019-03-04,2026-07-13,72,72413,DIGITAL_ICT,True,48.0,True,0,136.30091984231274,,,,window_18m
15-31797,NAME:acoss,NAME_FALLBACK,2015-03-04,2015-03-04,2019-03-04,2026-07-13,72,72500,DIGITAL_ICT,True,48.0,True,0,136.30091984231274,,,,window_18m
15-47450,NAME:prefecture de la loire-atlantique,NAME_FALLBACK,2015-03-27,2015-03-27,2016-03-27,2026-07-13,45,45314,DIGITAL_ICT,True,12.0,True,0,135.54533508541394,,,,window_18m
15-39187,NAME:caisse des depots,NAME_FALLBACK,2015-03-16,2015-03-16,2015-09-16,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,0.9526938239159001,15-56571,0.5686682070240692,HIGH,window_18m
15-42765,NAME:cg49,NAME_FALLBACK,2015-03-20,2015-03-20,2015-09-20,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,7.490144546649145,15-167650,0.44262815589649523,MEDIUM,window_18m
15-42843,NAME:cte de cnes de l ile de noirmoutier,NAME_FALLBACK,2015-03-24,2015-03-24,2019-03-24,2026-07-13,72,72000,DIGITAL_ICT,True,48.0,True,0,135.64388961892246,,,,window_18m
15-45661,NAME:ville du chateau d olonne,NAME_FALLBACK,2015-03-26,2015-03-26,2015-09-26,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.57818659658344,,,,window_18m
15-47591,NAME:ville d angers,NAME_FALLBACK,2015-03-27,2015-03-27,2018-03-27,2026-07-13,32,32412,DIGITAL_ICT,True,36.0,True,0,135.54533508541394,,,,window_18m
15-48624,NAME:rectorat de l academie de nantes,NAME_FALLBACK,2015-03-31,2015-03-31,2016-03-31,2026-07-13,45,45311,DIGITAL_ICT,True,12.0,True,1,12.187910643889618,16-49315,0.36664161616428986,MEDIUM,window_18m
15-43293,NAME:msa loire-atlantique - vendee,NAME_FALLBACK,2015-03-20,2015-03-20,2015-09-20,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.77529566360053,,,,window_18m
15-33752,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-03-06,2015-10-08,2019-10-08,2026-07-13,72,72310,DIGITAL_ICT,True,48.0,True,1,56.53745072273324,19-174098,0.3656570784170054,POTENTIAL,window_18m
